year,Male,Female
2008,538,10
2009,731,33
2010,673,25
2011,956,22
2012,308,5
2013,197,2
2014,163,10
2015,311,8
2016,806,22
2017,799,32
2018,470,15
2019,508,23
2020,218,7
2021,354,17
2022,355,20
2023,285,17
