year,Male,Female
2008,36,22
2009,47,34
2010,40,16
2011,55,24
2012,33,12
2013,4,2
2014,20,3
2015,10,4
2016,50,16
2017,27,8
2018,16,9
2019,24,6
2020,21,5
2021,16,7
2022,12,11
2023,16,12
