common_name,x,y,size,series
Pea,55.0,4.0,80.0,Very high
Cabbage (Spring),55.0,7.0,25.0,High
Beans (French),40.0,16.0,27.0,Medium
Broccoli,55.0,7.0,34.0,Medium
Beetroot,55.0,10.0,0.0,Medium
Cauliflower,55.0,15.0,31.0,Medium
Bell Pepper,60.0,17.0,31.0,Medium
Beans (Runner),65.0,16.0,27.0,Medium
Endive,70.0,10.0,0.0,Medium
Brussels Sprouts,180.0,7.0,35.0,Medium
Kale,65.0,15.0,50.0,Low
Beans (Broad),85.0,8.0,88.0,Very low
